,issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved,created.1,assigned.1,summary,description,affected_version,fixed_version,votes,watches,description_words,assingnee_count,comment_count,commenter,Surprising,Dormant,Blocker,Security,Performance,Breakage,commit_count,file_count,files
30,287,Bug,Resolved,Fixed,ambari-server; ambari-web   ,Major,Vikram Dixit K,2012/05/17 02:49:45 +0100,2012/05/17 02:49:45 +0100,Vikram Dixit K,2012/06/07 05:27:14 +0100,21.10936343,21.10936343,Add link to uninstall on index page   ,Uninstall link is now hooked into the index page.   ,0.9.0,0.9.0,0,2,9,1,3,2,0,0,0,0,0,0,0,0,
31,290,Bug,Resolved,Fixed,ambari-server   ,Major,Jitendra Nath Pandey,2012/05/17 03:49:18 +0100,2012/05/17 03:49:18 +0100,Varun Kapoor,2012/05/17 03:52:12 +0100,0.002013889,0.002013889,Comment in addNodesWizardInit.js.   ,Comment in addNodesWizardInit.js.   ,0.9.0,0.9.0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,
32,292,Bug,Resolved,Fixed,ambari-web   ,Major,Jitendra Nath Pandey,2012/05/17 03:55:34 +0100,2012/05/17 03:55:34 +0100,Varun Kapoor,2012/05/17 03:58:26 +0100,0.001990741,0.001990741,HTML being spewed in the Review+Deploy page.   ,HTML being spewed in the Review+Deploy page.   ,0.9.0,0.9.0,0,1,7,1,1,1,0,0,0,0,0,0,0,0,
35,304,Bug,Resolved,Fixed,   ,Major,Vinod Kumar Vavilapalli,2012/05/17 22:51:13 +0100,2012/05/17 22:51:13 +0100,Vinod Kumar Vavilapalli,2012/06/02 01:25:33 +0100,15.10717593,15.10717593,Upgrade to yui-3.5.1   ,   ,0.9.0,0.9.0,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
36,310,Bug,Resolved,Fixed,   ,Major,Yusaku Sako,2012/05/18 04:11:17 +0100,2012/05/18 04:11:17 +0100,Yusaku Sako,2012/06/01 23:48:51 +0100,14.81775463,14.81775463,Externalize message resources for the welcome page.  Update styles on various pages.   ,   ,0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
37,312,Bug,Resolved,Fixed,   ,Minor,Hitesh Shah,2012/05/18 18:03:47 +0100,2012/05/18 18:03:47 +0100,Hitesh Shah,2012/06/01 23:58:33 +0100,14.24636574,14.24636574,Uninstall's wipe flag should be correctly passed to puppet   ,   ,0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
38,316,Bug,Resolved,Fixed,   ,Major,Vinod Kumar Vavilapalli,2012/05/18 21:33:10 +0100,2012/05/18 21:33:10 +0100,Vinod Kumar Vavilapalli,2012/06/05 22:46:22 +0100,18.05083333,18.05083333,Grid mount points page doesn't let one pass with only a custom mount point   ,   ,0.9.0,0.9.0,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
39,319,Bug,Resolved,Fixed,ambari-server   ,Major,Jitendra Nath Pandey,2012/05/18 22:46:41 +0100,2012/05/18 22:46:41 +0100,Jitendra Nath Pandey,2012/06/02 01:30:40 +0100,14.11387731,14.11387731,Scale puppet master to large number of nodes.   ,Scale puppet master to large number of nodes.   ,0.9.0,0.9.0,0,3,8,1,1,1,0,0,0,0,0,0,0,0,
45,339,Bug,Resolved,Fixed,ambari-web   ,Major,Vikram Dixit K,2012/05/19 22:01:30 +0100,2012/05/20 01:39:12 +0100,Vikram Dixit K,2012/06/05 23:34:28 +0100,17.06456019,16.91337963,Making transitionToNextStage more robust   ,If the currentStage is null  we should not proceed with a transition.   ,0.9.0,0.9.0,0,1,12,1,1,1,0,0,0,0,0,0,0,0,
52,371,Bug,Resolved,Fixed,ambari-server   ,Major,Jitendra Nath Pandey,2012/05/22 00:51:49 +0100,2012/05/22 00:51:49 +0100,Jitendra Nath Pandey,2012/06/06 22:06:06 +0100,15.88491898,15.88491898,Mysql packages not being sent during install and uninstall   ,Mysql packages not being sent during install and uninstall.   ,0.9.0,0.9.0,0,2,9,1,1,1,0,0,0,0,0,0,0,0,
53,377,Bug,Resolved,Fixed,ambari-server   ,Major,Jitendra Nath Pandey,2012/05/22 07:41:39 +0100,2012/05/22 07:41:39 +0100,Jitendra Nath Pandey,2012/06/06 22:30:57 +0100,15.61756944,15.61756944,Uninstall does not handle component dependencies.   ,Uninstall does not handle component dependencies.   ,0.9.0,0.9.0,0,2,6,1,2,1,0,0,0,0,0,0,0,0,
57,399,Bug,Resolved,Fixed,   ,Major,Yusaku Sako,2012/05/23 23:26:51 +0100,2012/05/23 23:26:51 +0100,Yusaku Sako,2012/06/06 23:26:35 +0100,13.99981481,13.99981481,Cannot uninstall - the page hangs with the spinning icon   ,   ,0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
60,404,Bug,Resolved,Fixed,   ,Major,Yusaku Sako,2012/05/24 04:14:10 +0100,2012/05/24 04:21:22 +0100,Yusaku Sako,2012/06/06 23:43:36 +0100,13.81210648,13.80710648,Unify the top nav for both Monitoring and Cluster Management   ,   ,0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
61,414,Bug,Resolved,Fixed,   ,Major,Mahadev konar,2012/05/25 19:05:33 +0100,2012/05/25 19:05:33 +0100,Mahadev konar,2012/06/07 01:32:57 +0100,12.26902778,12.26902778,Add rpm spec for hmc agent.   ,Add rpm spec for hmc agent.   ,0.9.0,0.9.0,0,2,6,1,2,2,0,0,0,0,0,0,0,0,
68,442,Bug,Resolved,Fixed,   ,Major,Ramya Sunil,2012/05/26 20:41:05 +0100,2012/05/26 20:41:05 +0100,Ramya Sunil,2012/06/07 02:08:43 +0100,11.22752315,11.22752315,Duplicate definition: Class[Hdp-hbase::Regionserver::Enable-ganglia]   ,Duplicate definition: Class&#91;Hdp-hbase::Regionserver::Enable-ganglia&#93; is already defined; cannot redefine at /etc/puppet/agent/modules/hdp-ganglia/manifests/monitor.pp:37 on node ip-10-64-19-248.ec2.internal   ,0.9.0,0.9.0,0,2,14,1,2,2,0,0,0,0,0,0,0,0,
70,450,Improvement,Resolved,Fixed,   ,Major,Yusaku Sako,2012/05/30 05:01:02 +0100,2012/05/30 05:01:02 +0100,Yusaku Sako,2012/06/07 02:22:24 +0100,7.889837963,7.889837963,Boldify/Redify restart HMC message when nagios/ganglia is on the hmc host   ,   ,0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
72,466,Bug,Resolved,Fixed,ambari-server; ambari-web   ,Major,Vikram Dixit K,2012/05/31 03:47:49 +0100,2012/05/31 03:47:49 +0100,Vikram Dixit K,2012/06/07 02:47:24 +0100,6.958043981,6.958043981,Add nodes page alerts removed in case of adding duplicate nodes   ,Alerts that are being shown needs to be changed to be compatible with current implementation of showing errors. A link now appears to 'Show the duplicate nodes' which shows the duplicate nodes.   ,0.9.0,0.9.0,0,1,32,1,1,1,0,0,0,0,0,0,0,0,
73,467,Bug,Resolved,Fixed,   ,Major,Mahadev konar,2012/05/31 05:52:48 +0100,2012/05/31 05:52:48 +0100,Mahadev konar,2012/06/07 02:50:08 +0100,6.873148147999999,6.873148147999999,Fix hive stop to escape $.   ,   ,0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
74,468,Bug,Resolved,Fixed,   ,Major,Yusaku Sako,2012/05/31 07:51:50 +0100,2012/05/31 07:51:50 +0100,Yusaku Sako,2012/06/07 02:55:00 +0100,6.793865741,6.793865741,Post-Install Add Nodes - update progress title and success/error messages to reflect what it's actually doing/has done   ,   ,0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
81,493,Bug,Resolved,Fixed,   ,Minor,Hitesh Shah,2012/06/02 00:03:22 +0100,2012/06/02 00:03:22 +0100,Hitesh Shah,2012/06/07 03:34:03 +0100,5.14630787,5.14630787,Add rack_info as column in Hosts table   ,   ,0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
82,494,Bug,Resolved,Fixed,   ,Major,Mahadev konar,2012/06/02 00:27:50 +0100,2012/06/02 00:27:50 +0100,Mahadev konar,2012/06/07 03:35:11 +0100,5.130104167,5.130104167,Fix node assignments not not allow slaves on master.   ,   ,0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,1,0,0,0,0,
83,501,Improvement,Resolved,Fixed,   ,Major,Yusaku Sako,2012/06/02 23:17:49 +0100,2012/06/02 23:17:49 +0100,Yusaku Sako,2012/06/07 03:43:44 +0100,4.1846643519999995,4.1846643519999995,Speed up page load/reload times   ,   ,0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
84,508,Bug,Resolved,Fixed,   ,Major,Varun Kapoor,2012/06/05 02:40:11 +0100,2012/06/05 02:40:11 +0100,Varun Kapoor,2012/06/07 04:29:27 +0100,2.07587963,2.07587963,Support Resume For Add Nodes   ,Just like for Manage Services + Deploy + Uninstall.   ,0.9.0,0.9.0,0,2,9,1,2,2,0,0,0,0,0,0,0,0,
85,510,Bug,Resolved,Fixed,   ,Major,Yusaku Sako,2012/06/05 03:56:41 +0100,2012/06/05 03:56:41 +0100,Yusaku Sako,2012/06/07 04:31:21 +0100,2.024074074,2.024074074,Modify the router to force redirection to 'Add Nodes Progress' popup   ,   ,0.9.0,0.9.0,0,2,1,1,2,2,0,0,0,0,0,0,0,0,
86,512,Bug,Resolved,Fixed,   ,Major,Mahadev konar,2012/06/05 06:19:13 +0100,2012/06/05 06:19:13 +0100,Mahadev konar,2012/06/07 04:36:00 +0100,1.9283217590000001,1.9283217590000001,Fix puppet manifests for tarball downloads via rpms.   ,   ,0.9.0,0.9.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
91,543,Bug,Resolved,Fixed,infra   ,Major,Vikram Dixit K,2012/06/09 03:01:03 +0100,2012/06/09 03:01:03 +0100,Vikram Dixit K,2012/06/09 03:10:25 +0100,0.00650463,0.00650463,Rpm naming needs to be corrected.   ,Rpm naming needs to be corrected.   ,0.9.0,0.9.0,0,2,6,1,1,1,0,0,0,0,0,0,0,0,
99,566,Bug,Resolved,Fixed,   ,Minor,Yusaku Sako,2012/06/20 22:21:17 +0100,2012/06/20 22:25:10 +0100,Yusaku Sako,2012/06/20 22:25:15 +0100,0.00275463,5.79e-05,Update documentation   ,Modify pom.xml to create output files under ../site  rather than ./target.Make minor wording modifications.   ,0.9.0,0.9.0,0,2,14,1,1,1,0,0,0,0,0,0,0,0,
101,570,Bug,Resolved,Fixed,   ,Minor,Yusaku Sako,2012/06/21 02:53:02 +0100,2012/06/21 02:53:02 +0100,Yusaku Sako,2012/06/21 02:55:17 +0100,0.0015625,0.0015625,Consolidate head tags for organization and combine CSS files for faster load   ,   ,0.9.0,0.9.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,
104,578,Bug,Resolved,Fixed,   ,Major,Yusaku Sako,2012/06/26 02:50:15 +0100,2012/06/26 02:50:15 +0100,Yusaku Sako,2012/06/30 06:44:47 +0100,4.16287037,4.16287037,Custom Config page: don't allow form submission if there are client-side validation errors   ,Currently the button looks disabled when there are client-side validation errors  but it is clickable. This is a problem because there is no server-side validation to make sure that the passwords match.   ,0.9.0,0.9.0,0,1,32,1,1,1,0,0,0,1,0,0,0,0,
105,581,Bug,Resolved,Fixed,   ,Major,Jaimin D Jetly,2012/06/27 23:32:51 +0100,2012/06/27 23:32:51 +0100,Jaimin D Jetly,2012/06/28 01:28:03 +0100,0.08,0.08,special characters in hosts files created on some common windows editors causes issues   ,   ,0.9.0,0.9.0,0,2,1,1,5,2,0,0,0,0,0,0,0,0,
106,587,Bug,Resolved,Fixed,ambari-agent; ambari-server; ambari-web; documentation; infra; site; test   ,Major,Vikram Dixit K,2012/06/30 01:52:18 +0100,2012/06/30 01:52:18 +0100,Vikram Dixit K,2012/07/03 03:28:57 +0100,3.0671180560000004,3.0671180560000004,Rat compliance patch   ,Adding apache license to all the files within Ambari for rat tool compliance.   ,0.9.0,0.9.0,0,2,13,1,5,2,0,0,0,0,0,0,0,0,
110,597,Bug,Resolved,Fixed,   ,Major,Mahadev konar,2012/07/05 07:00:08 +0100,2012/07/05 07:00:08 +0100,Mahadev konar,2012/07/05 07:13:33 +0100,0.00931713,0.00931713,Remove /usr/bin/php dependency from the rpm's   ,   ,0.9.0,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,
111,600,Bug,Resolved,Fixed,   ,Blocker,Hitesh Shah,2012/07/05 19:58:10 +0100,2012/07/05 20:09:29 +0100,Hitesh Shah,2012/07/05 23:10:23 +0100,0.133483796,0.125625,Fix lzo installs to work correctly on RHEL6   ,   ,0.9.0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,
112,607,Bug,Resolved,Fixed,   ,Major,Hitesh Shah,2012/07/06 22:01:32 +0100,2012/07/06 22:01:32 +0100,Hitesh Shah,2012/07/06 22:26:22 +0100,0.01724537,0.01724537,Increase puppet timeouts to handle single-node installs timing out   ,   ,0.9.0,1,0,2,1,1,3,2,0,0,0,0,1,0,0,0,
115,628,Bug,Resolved,Fixed,   ,Major,Ashish Singh,2012/07/11 21:03:00 +0100,2012/07/12 21:41:48 +0100,Ashish Singh,2012/07/12 21:42:07 +0100,1.027164352,0.00022,hdp-nagios and hdp-monitoring has wrong configuration file location  also owner:group permissions are wrong.   ,Suse environment has wrong configuration location for hdp-dashboard and hdp-nagios. Also  owner:group permissions were wrongly set to root:root instead of 'wwwrun' and group is 'www   ,0.9.0,1,0,2,25,1,3,2,0,0,0,1,0,0,0,0,
116,633,Bug,Resolved,Fixed,   ,Minor,Yusaku Sako,2012/07/12 19:14:14 +0100,2012/07/12 19:14:14 +0100,Yusaku Sako,2012/07/12 19:23:47 +0100,0.006631944,0.006631944,Fix invalid HTML markup on Monitoring Dashboard   ,   ,0.9.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,
122,689,Bug,Resolved,Fixed,   ,Major,Mahadev konar,2012/08/29 01:22:06 +0100,2012/08/29 01:22:06 +0100,Mahadev konar,2012/08/29 01:25:13 +0100,0.002164352,0.002164352,Fix ambari agent init.d scripts and the bootstrapping.   ,   ,0.9.0,0.9.0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,
124,1072,Improvement,Resolved,Fixed,ambari-web   ,Major,Srimanth Gunturi,2012/12/13 03:19:04 +0100,2012/12/13 03:19:04 +0100,Srimanth Gunturi,2013/01/10 20:58:25 +0100,28.73565972,28.73565972,Change text on alerts 'about XX hours ago'   ,Alerts should have text like :OK for about 17 hoursWARN for about 17 hoursCRIT for about 17 hours   ,1.2.0,1.2.0,0,2,18,1,1,1,1,0,0,0,0,0,0,0,
125,1081,Bug,Resolved,Fixed,ambari-web   ,Major,Srimanth Gunturi,2012/12/14 00:34:44 +0100,2012/12/14 00:34:44 +0100,Srimanth Gunturi,2013/01/10 21:41:36 +0100,27.87976852,27.87976852,HDFS disk capacity on dashboard is seen as negative number   ,Sometimes disk capacity calculations end up in negative numbers.   ,1.2.0,1.2.0,0,2,9,1,1,1,1,0,0,0,0,0,0,0,
126,1085,Bug,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2012/12/14 02:31:17 +0100,2012/12/14 02:31:17 +0100,Yusaku Sako,2012/12/14 02:56:02 +0100,0.0171875,0.0171875,Remove files from ambari-web that were not meant to be checked in   ,ambari-web/node_modules  ambari-web/public  ambari-web/ambari.iml were not meant to be checked in. Must remove.   ,1.2.0,1.2.0,0,1,12,1,1,1,0,0,0,0,0,0,0,0,
127,1092,Bug,Resolved,Fixed,ambari-web   ,Major,Srimanth Gunturi,2012/12/17 01:54:56 +0100,2012/12/17 01:54:56 +0100,Srimanth Gunturi,2013/01/10 22:25:38 +0100,24.85465278,24.85465278,dashboard > Summary > capacity pie chart keeps changing colors   ,   ,1.2.0,1.2.0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,
128,1096,Improvement,Resolved,Fixed,ambari-web   ,Major,Srimanth Gunturi,2012/12/17 21:55:56 +0100,2012/12/17 21:55:56 +0100,Srimanth Gunturi,2013/01/10 22:57:42 +0100,24.04289352,24.04289352,Create heatmap legend entries for missing data/invalid hosts   ,Currently we dont fill anything which is ambiguous.   ,1.2.0,1.2.0,0,2,8,1,1,1,1,0,0,0,0,0,0,0,
135,1123,Bug,Resolved,Fixed,ambari-web   ,Major,Srimanth Gunturi,2012/12/28 08:34:01 +0100,2012/12/28 08:34:01 +0100,Srimanth Gunturi,2013/01/11 03:29:15 +0100,13.78835648,13.78835648,Ambari heatmaps and host information shows infinity for disk space used   ,When cluster is started after install  it has disk_total of null which results in Infinity.   ,1.2.0,1.2.0,0,2,16,1,1,1,1,0,0,0,0,0,0,0,
144,1164,Bug,Resolved,Fixed,   ,Critical,Mahadev konar,2013/01/14 20:42:22 +0100,2013/02/01 00:10:30 +0100,John Speidel,2013/02/01 00:10:46 +0100,17.14472222,0.000185,Disk Info Metrics and memory usage sometimes do not show up for an hour or so.   ,Disk Info Metrics and memory usage sometimes do not show up for an hour or so.   ,1.2.0,1.2.2,0,2,16,1,1,1,0,0,0,0,0,0,0,0,
145,1181,Improvement,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/01/15 02:34:13 +0100,2013/01/15 02:34:13 +0100,Yusaku Sako,2013/01/15 21:45:03 +0100,0.799189815,0.799189815,Clean up table header UI for sorting and filter clear 'x' for Hosts table   ,   ,1.2.0,1.2.3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,
146,1182,Improvement,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/01/15 02:39:41 +0100,2013/01/15 02:39:41 +0100,Yusaku Sako,2013/01/15 21:46:45 +0100,0.796574074,0.796574074,Clean up table header UI for sorting and filter clear 'x' for Jobs table   ,   ,1.2.0,1.2.1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,
148,1190,Bug,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/01/15 03:19:14 +0100,2013/01/15 03:19:14 +0100,Yusaku Sako,2013/01/15 22:32:28 +0100,0.800856481,0.800856481,Detailed log view dialogs are not center-aligned   ,   ,1.2.0,1.2.1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,
153,1216,Improvement,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/01/19 02:07:41 +0100,2013/01/19 02:07:41 +0100,Yusaku Sako,2013/01/19 02:11:23 +0100,0.002569444,0.002569444,Add filters module   ,   ,1.2.0,1.2.1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,
154,1218,Improvement,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/01/19 02:19:14 +0100,2013/01/19 02:19:14 +0100,Yusaku Sako,2013/01/19 02:20:24 +0100,0.00081,0.00081,Refactor Job Browser User filter   ,   ,1.2.0,1.2.1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,
155,1223,Improvement,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/01/19 02:31:22 +0100,2013/01/19 02:31:22 +0100,Yusaku Sako,2013/01/19 02:33:22 +0100,0.001388889,0.001388889,Confirm Hosts page: It looks like hosts disappear if you are on 'Fail' filter and click on 'Retry Failed' button   ,   ,1.2.0,1.2.1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,
156,1224,Improvement,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/01/19 02:34:01 +0100,2013/01/19 02:34:01 +0100,Yusaku Sako,2013/01/19 02:36:26 +0100,0.001678241,0.001678241,Drop the 'all' option from Hosts > Component Filter and Jobs > Users Filter   ,   ,1.2.0,1.2.1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,
159,1233,Bug,Resolved,Fixed,   ,Major,Mahadev konar,2013/01/21 19:57:10 +0100,2013/01/23 22:03:46 +0100,Mahadev konar,2013/02/04 05:43:10 +0100,13.40694444,11.31902778,Directory permissions on httpd /var/www/cgi-bin should not be touched by Ambari.   ,Directory permissions on httpd /var/www/cgi-bin should not be touched by Ambari.   ,1.2.0,1.2.1; 1.2.3,0,1,11,1,2,1,0,0,0,1,0,0,0,0,
160,1235,Improvement,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/01/21 20:07:00 +0100,2013/01/21 20:07:00 +0100,Yusaku Sako,2013/01/22 22:16:43 +0100,1.090081019,1.090081019,Host health indicator should have a tooltip showing details   ,   ,1.2.0,1.2.1,0,2,1,1,4,2,0,0,0,0,0,0,0,0,
166,1265,Improvement,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/01/26 02:11:48 +0100,2013/01/26 02:11:48 +0100,Yusaku Sako,2013/01/26 06:28:33 +0100,0.17829861100000002,0.17829861100000002,Job Browser - Filter by Input  output and duration   ,&lt;expression&gt; ::= [&lt;operator&gt;] [&lt;whitespace&gt;]* &lt;value&gt; [&lt;duration-unit&gt; | &lt;io-unit&gt;]&lt;operator&gt; ::= '&gt;' | '&lt;' | '='&lt;whitespace&gt; ::= ' '&lt;value&gt; :== int | float&lt;duration-unit&gt; ::= 's' | 'm' | 'h'&lt;io-unit&gt; ::= 'k' | 'kb' | 'm' | 'mb' | 'g' | 'gb'If &lt;operator&gt; is ommitted  '=' is assumed.If &lt;duration-unit&gt; is omitted  's' is assumed.If &lt;io-unit&gt; is omitted  'k' is assumed.&lt;duration-unit&gt; and &lt;io-unit&gt; are case-insensitive.   ,1.2.0,1.2.1,0,2,67,1,2,2,0,0,0,0,0,0,0,0,
168,1267,Bug,Resolved,Fixed,   ,Major,Mahadev konar,2013/01/26 05:17:08 +0100,2013/01/26 05:17:08 +0100,Mahadev konar,2013/01/26 05:52:17 +0100,0.024409722000000002,0.024409722000000002,Store example Hive Queries somewhere in Ambari that's easily accessible for demo/test purposes   ,Store example Hive Queries somewhere in Ambari that's easily accessible for demo/test purposes   ,1.2.0,1.2.1,0,2,13,1,3,2,0,0,0,0,0,0,0,0,
169,1271,Improvement,Resolved,Fixed,ambari-web   ,Major,Yusaku Sako,2013/01/28 09:21:40 +0100,2013/01/28 09:21:40 +0100,Yusaku Sako,2013/01/29 01:45:07 +0100,0.6829513890000001,0.6829513890000001,On Confirm Hosts page  add a link to show the Host Checks popup in the success message   ,   ,1.2.0,1.2.1,0,2,1,1,2,1,0,0,0,0,0,0,0,0,
171,1274,Improvement,Resolved,Fixed,ambari-web   ,Major,Srimanth Gunturi,2013/01/28 20:51:32 +0100,2013/01/28 20:51:32 +0100,Srimanth Gunturi,2013/01/29 01:13:51 +0100,0.182164352,0.182164352,Shrink top nav height   ,Navbar's height should be shrunk to ~40px.   ,1.2.0,1.2.2,0,2,7,1,2,2,0,0,0,0,0,0,0,0,
178,1308,Improvement,Resolved,Fixed,ambari-web   ,Major,ARUN KUMAR KANDREGULA,2013/01/30 23:27:48 +0100,2013/01/30 23:27:48 +0100,ARUN KUMAR KANDREGULA,2013/01/31 01:53:32 +0100,0.101203704,0.101203704,Properly display Apps page aggregate summary and data table when there are no data to be shown   ,   ,1.2.0,1.2.1,0,2,1,1,3,2,0,0,0,0,0,0,0,0,
