,issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved,created.1,assigned.1,summary,description,affected_version,fixed_version,votes,watches,description_words,assingnee_count,comment_count,commenter,Surprising,Dormant,Blocker,Security,Performance,Breakage,commit_count,file_count,files
34,323,Bug,Resolved,Fixed,wicket-extensions,Minor,Jason Schnitzer,2007/02/25 06:13:44 +0100,2007/06/10 22:52:14 +0100,Alastair Maw,2007/06/10 22:54:02 +0100,105.6946528,0.00125,AjaxEditableLabel on setModel does not update the labels model only the editors   ,The AjaxEditableLabel when you perform a setModel() it will go ahead and update the underlying model of the editor however  it does not update the underlying model of the Label   ,1.3.0-beta1,1.3.0-beta2,0,0,30,1,2,2,1,0,0,0,0.0,0,1,1,jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java;
35,327,Improvement,Resolved,Fixed,wicket,Major,Fr?d?ric Bertin,2007/02/26 15:07:53 +0100,2007/02/26 17:33:05 +0100,Jean-Baptiste Quenot,2007/02/28 01:01:24 +0100,1.4121643519999998,1.311331019,Download link does not set Content-Type and Content-Length headers   ,When using a wicket download link  response headers Content-Type and Content-Length headers are not set.   ,1.2.5,2.0 branch (discontinued); 1.3.0-beta1,0,0,15,1,4,2,1,0,0,0,0.0,0,3,15,wicket/src/main/java/wicket/markup/html/link/DownloadLink.java;wicket/src/main/java/wicket/protocol/http/request/WebExternalResourceRequestTarget.java;wicket/src/main/java/wicket/markup/html/link/DownloadLink.java;wicket/src/main/java/wicket/protocol/http/WebResponse.java;wicket/src/main/java/wicket/protocol/http/request/WebExternalResourceRequestTarget.java;wicket/src/test/java/wicket/markup/html/link/DownloadLinkTest.java;wicket/src/test/java/wicket/markup/html/link/DownloadPage.html;wicket/src/test/java/wicket/markup/html/link/DownloadPage.java;wicket/src/test/java/wicket/protocol/http/WebRequestCodingStrategyTest.java;wicket/src/main/java/wicket/markup/html/link/DownloadLink.java;wicket/src/main/java/wicket/protocol/http/WebResponse.java;wicket/src/main/java/wicket/protocol/http/request/WebExternalResourceRequestTarget.java;wicket/src/test/java/wicket/markup/html/link/DownloadLinkTest.java;wicket/src/test/java/wicket/markup/html/link/DownloadPage.html;wicket/src/test/java/wicket/markup/html/link/DownloadPage.java;
40,362,Improvement,Closed,Fixed,wicket,Major,Brian Topping,2007/03/06 03:51:03 +0100,2007/04/25 22:47:04 +0100,Jean-Baptiste Quenot,2007/04/25 22:52:14 +0100,50.79248843,0.003587963,Add ability to manage disabled items from subclasses of AbstractChoice   ,AbstractChoice does almost everything but disabled items. This patch adds that ability.This is my first patch to Wicket. I had some question about whether to include a default implementation for isDisabled()  but that would have required a Map to be supplied. Then I started wondering about whether four more ctors should be provided to pass in the map. Then I decided it was better managed by the subclass. It can always be improved later.   ,2.0 branch (discontinued),1.3.0-beta2,0,0,74,1,1,1,0,0,0,0,0.0,0,1,3,jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/form/AbstractChoice.java;jdk-1.5/wicket-examples/src/main/java/org/apache/wicket/examples/compref/ListMultipleChoicePage.html;jdk-1.5/wicket-examples/src/main/java/org/apache/wicket/examples/compref/ListMultipleChoicePage.java;
41,371,Improvement,Resolved,Fixed,wicket-spring,Major,Istvan Devai,2007/03/08 22:15:34 +0100,,Unassigned,2007/03/16 22:49:19 +0100,8.0234375,,@SpringBean support of non-singleton beans   ,Two fixes:In wicket-spring: SpringBeanLocator got a new property called singletonBean  which is true if the bean is a singleton(the property is set in the constructor)In wicket-spring-annot:AnnotProxyFieldValueFactory is modified that if the bean is a non-singleton  then bypass the cache   ,1.2.5,1.3.0-beta1,0,1,39,0,0,0,0,0,0,0,0.0,0,2,2,jdk-1.5/wicket-spring-annot/src/main/java/wicket/spring/injection/annot/AnnotProxyFieldValueFactory.java;jdk-1.4/wicket-spring/src/main/java/wicket/spring/SpringBeanLocator.java;
44,394,Improvement,Resolved,Fixed,wicket,Minor,Vincent Demay,2007/03/15 18:35:03 +0100,2007/07/31 09:41:21 +0100,Jean-Baptiste Quenot,2007/07/31 09:41:53 +0100,137.62974540000002,0.00037,[Patch] do not serialize choices and select in palette.   ,It takes a long useless time   ,1.3.0-beta1,1.3.0-beta2; 1.3.0-beta3,0,0,7,1,4,3,0,0,0,0,0.0,0,2,3,jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/form/palette/component/AbstractOptions.java;jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/form/palette/component/AbstractOptions.java;jdk-1.4/wicket/src/main/java/org/apache/wicket/ajax/wicket-ajax.js;
58,518,Improvement,Resolved,Fixed,wicket,Major,Eelco Hillenius,2007/04/30 09:49:02 +0100,2007/04/30 09:49:02 +0100,Eelco Hillenius,2007/04/30 11:08:37 +0100,0.055266204000000006,0.055266204000000006,Change name of IFormProcessingListener   ,See http://www.nabble.com/what-is-the-use-case-for-IFormProcessingListener-tf3635720.html#a10152501   ,1.3.0-beta1,1.3.0-beta1,0,0,5,1,3,1,1,0,0,0,0.0,0,1,5,jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/form/Form.java;jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/form/FormComponent.java;jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/form/IFormProcessingListener.java;jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/form/IFormVisitorParticipant.java;jdk-1.4/wicket/src/test/java/org/apache/wicket/markup/html/form/FormTest.java;
59,536,Bug,Resolved,Fixed,wicket-extensions,Major,Julian Klappenbach,2007/05/06 01:49:25 +0100,2007/06/10 23:20:49 +0100,Matej Knopp,2007/08/26 17:10:36 +0100,112.63971059999999,76.74290509,ModalWindow does not function under Opera   ,Initial ModalWindow appears  but with the title: 'Blank Page'. The window remains unpopulated.   ,1.2.6; 1.3.0-beta2,1.3.0-rc1,0,1,13,1,8,4,1,0,0,0,0.0,0,1,2,jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/modal/ModalWindow.java;jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/modal/res/modal.js;
62,550,Bug,Resolved,Fixed,wicket,Major,Jean-Baptiste Quenot,2007/05/09 22:31:57 +0100,,Unassigned,2008/10/31 00:53:30 +0100,540.0982986,,Use WebRequestEncoder everywhere a query string is constructed   ,   ,1.3.0-beta1,1.4-RC1,0,0,1,0,5,4,1,0,0,0,0.0,0,1,1,wicket/src/main/java/org/apache/wicket/RequestCycle.java;
63,559,Bug,Resolved,Fixed,wicket,Critical,Nathan Hamblen,2007/05/12 16:21:16 +0100,2007/05/12 18:34:22 +0100,Juergen Donnerstag,2007/05/12 18:34:22 +0100,0.092430556,0.0,LocalizedImageResource escapes ampersands twice (regression)   ,urlFor returns escaped ampersands (apparently  a change) so LocalizedImageResource should not do it a second time.   ,1.3.0-beta1,1.3.0-beta1,0,0,16,1,2,2,1,0,0,0,0.0,1,1,1,jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/image/resource/LocalizedImageResource.java;
66,595,Bug,Resolved,Fixed,wicket,Minor,Jonathan Locke,2007/05/28 01:55:15 +0100,2007/05/31 15:47:01 +0100,Jonathan Locke,2007/05/31 15:47:08 +0100,3.5776967589999997,8.1e-05,TimeOfDay.next(Calendar) can return time on same day rather than next day   ,Currently code does: calendar.add(Calendar.DATE  1); return Time.valueOf(calendar  this);Because Time.valueOf(Calendar  TimeOfDay) always returns the time on the same day  the add is ignored. Instead this code should be the time of day today plus one day like this: return Time.valueOf(calendar  this).add(Duration.ONE_DAY);   ,1.3.0-beta1,1.3.0-beta2,0,0,40,1,0,0,0,0,0,0,0.0,0,1,1,jdk-1.4/wicket/src/main/java/org/apache/wicket/util/time/TimeOfDay.java;
71,631,Bug,Resolved,Fixed,wicket,Major,J?nos Cser?p,2007/06/09 18:00:14 +0100,2007/08/15 22:56:29 +0100,Johan Compagner,2007/09/30 20:53:59 +0100,113.1206597,45.91493056,Resource.getParameters() empty when resource is mounted   ,After migrating my application from 1.2.6 to 1.3.0-incubating-SNAPSHOT mounted shared resources (rss feeds  uploaded images) stopped working.DynamicWebResource.getParameters().getXXX() returns with null if the resource is mounted via Application.mountSharedResource but it works fine when the resource is not mounted.   ,1.3.0-beta1,1.3.0-beta4,1,2,37,1,14,6,0,0,0,0,1.0,1,1,1,jdk-1.4/wicket/src/main/java/org/apache/wicket/Resource.java;
74,661,Improvement,Closed,Fixed,wicket-datetime,Minor,Gerolf Seitz,2007/06/17 23:45:48 +0100,2007/06/17 23:53:36 +0100,Eelco Hillenius,2007/06/18 02:37:56 +0100,0.119537037,0.11412037,fire onchange event of associated component after date selection   ,sometimes it's desirable to be notified after a date was selected.therefore the change event (onchange() method) of the associated component should be fired.to not break existing code  a second constructor should be added to specify whether the event should be fired  whereas the default behavior is to not fire the event.   ,1.3.0-beta1,1.3.0-beta3,0,0,51,1,1,1,0,0,0,0,0.0,0,1,2,jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DatePicker.java;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DatePicker.js;
75,663,Improvement,Resolved,Fixed,,Major,Igor Vaynberg,2007/06/18 04:23:13 +0100,2013/12/20 11:09:01 +0100,Martin Grigorov,2013/12/20 13:21:09 +0100,2377.373565,0.09175925900000001,enhance ichoicerenderer with id->choice object lookup   ,add object idtochoice(string id) to ichoicerenderer and add class choicerenderer implements ichoicerenderer that encapsulate the default linear searchthen we can remove method added in WICKET-348 to support a custom lookup   ,1.3.0-final,7.0.0-M1,0,3,39,1,11,4,0,0,0,0,1.0,0,5,51,wicket-core/src/main/java/org/apache/wicket/markup/html/form/AbstractSingleSelectChoice.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/ChoiceRenderer.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/EnumChoiceRenderer.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/IChoiceRenderer.java;wicket-examples/src/main/java/org/apache/wicket/examples/compref/DropDownChoicePage.java;wicket-extensions/src/test/java/org/apache/wicket/extensions/markup/html/form/palette/PaletteTestPage.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/AbstractChoice.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/IChoiceRenderer.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/AbstractChoice.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/AbstractSingleSelectChoice.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/CheckBoxMultipleChoice.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/ChoiceRenderer.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/DropDownChoice.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/EnumChoiceRenderer.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/IChoiceRenderer.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/ListChoice.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/ListMultipleChoice.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/RadioChoice.java;wicket-core/src/main/java/org/apache/wicket/util/tester/FormTester.java;wicket-core/src/test/java/org/apache/wicket/util/tester/apps_3/ChoicePage.java;wicket-examples/src/main/java/org/apache/wicket/examples/compref/DropDownChoicePage.java;wicket-examples/src/main/java/org/apache/wicket/examples/compref/PalettePage.java;wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableChoiceLabel.java;wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/form/palette/Palette.java;wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/form/palette/component/AbstractOptions.java;wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/form/palette/component/Recorder.java;wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/repeater/data/table/filter/ChoiceFilter.java;wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/repeater/data/table/filter/ChoiceFilteredPropertyColumn.java;wicket-extensions/src/test/java/org/apache/wicket/extensions/markup/html/form/palette/PaletteTestPage.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/AbstractChoice.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/AbstractSingleSelectChoice.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/ChoiceRenderer.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/IChoiceRenderer.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/AbstractChoice.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/AbstractSingleSelectChoice.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/CheckBoxMultipleChoice.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/ChoiceRenderer.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/DropDownChoice.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/IChoiceRenderer.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/ListChoice.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/ListMultipleChoice.java;wicket-core/src/main/java/org/apache/wicket/markup/html/form/RadioChoice.java;wicket-core/src/main/java/org/apache/wicket/util/tester/FormTester.java;wicket-examples/src/main/java/org/apache/wicket/examples/compref/PalettePage.java;wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableChoiceLabel.java;wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/form/palette/Palette.java;wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/form/palette/component/AbstractOptions.java;wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/form/palette/component/Recorder.java;wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/repeater/data/table/filter/ChoiceFilter.java;wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/repeater/data/table/filter/ChoiceFilteredPropertyColumn.java;wicket-extensions/src/test/java/org/apache/wicket/extensions/markup/html/form/palette/PaletteTestPage.java;
78,672,Improvement,Resolved,Fixed,wicket-extensions,Minor,Andrew Klochkov,2007/06/19 07:13:47 +0100,2007/06/19 13:25:44 +0100,Alastair Maw,2007/06/19 13:25:44 +0100,0.258298611,0.0,DateTextField is too session-heavy   ,org.apache.wicket.extensions.markup.html.form.DateTextField seems too heavy for http session - it holds SimpleDateFormat instance which in turn holds DateFormatSymbols instance which in turn has several arrays inside.   ,1.3.0-beta1,1.3.0-beta2,0,0,25,1,1,1,0,0,0,0,1.0,0,1,1,jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/form/DateTextField.java;
80,695,Bug,Resolved,Fixed,wicket,Minor,Stefan Kanev,2007/06/25 14:40:39 +0100,2007/06/25 18:35:41 +0100,Juergen Donnerstag,2007/07/10 05:47:15 +0100,14.62958333,14.46636574,Border.resolve() should not attempt to render contents if bodyVisible is false   ,Border.resolve() should not attempt to render its nested components if setBorderBodyVisible(false) has been called. This way the behavior would be similar to Component.setVisible() - when the contents are not visible  wicket would not raise an exception if there are no corresponding components for the border's markup.   ,1.3.0-beta1; 1.3.0-beta2,1.3.0-beta3,0,0,46,1,6,2,0,0,0,0,0.0,0,1,6,jdk-1.4/wicket/src/main/java/org/apache/wicket/Application.java;jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/border/Border.java;jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/resolver/AutoComponentResolver.java;jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/resolver/BorderBodyResolver.java;jdk-1.4/wicket/src/test/java/org/apache/wicket/markup/html/border/BorderRenderWrappedTestPage_1.java;jdk-1.4/wicket/src/test/java/org/apache/wicket/markup/html/border/FormBorder.java;
